"Code","SplCode","TreeCode"
"POPULUS","POPULUS","A"
"POPULX","POPULX","Ax"
"POPUTRE","POPUTRE","At"
"BETULA","BETULA","E"
"LARIGME","LARIGME","Ld"
"POPUTRI","POPUTRI","Act"
"PRUNAVI","PRUNAVI","Vs"
"PRUNEMA","PRUNEMA","Vb"
"PRUNPEN","PRUNPEN","Vp"
"PRUNUS","PRUNUS","V"
"PRUNVIR","PRUNVIR","Vv"
"PRUNVIR4","PRUNVIR","Vv"
"PRUNVIR2","PRUNVIR","Vv"
"PYRUCOM","PYRUCOM","Of"
"QUERGAR","QUERGAR","Qg"
"QUERROB","QUERROB","Qe"
"QUERCUS","QUERCUS","Q"
"SALIAMY","SALIAMY","Wa"
"SALIBEB","SALIBEB","Wb"
"SALIDIS","SALIDIS","Wd"
"SALILAS","SALILAS","Wp"
"SALILAS1","SALILAS","Wp"
"SALILAS2","SALILAS","Wp"
"SALILAS","SALILAS","Wp"
"SALISCO","SALISCO","Ws"
"SALISIT","SALISIT","Wt"
"SORBAUC","SORBAUC","Od"
"ULMUPUM","ULMUPUM","Oe"
"ABIELAS","ABIELAS","Blc"
"BETUALL","BETUALL","Ey"
"CARYOVA","CARYOVA","Oi"
"QUERALB","QUERALB","Qw"
"FRAXAME","FRAXAME","Oh"
"JUGLAIL","JUGLAIL","Ok"
"JUNIMAR","JUNIMAR","Js"
"AILAALT","AILAALT","Oj"
"BETUPUB1","BETUPUB","Es"
"PRUNVIR4","PRUNVIR","Vv"
"CALLNOO","CALLNOO","Yc"
"PINUPON1","PINUPON","Py"
"FRANPUR1","FRANPUR","Kc"
"ABIELAS","ABIEBIF","Bli"
"FRANPUR","FRANPUR","Kc"
"BETUPAP","BETUPAP","Ep"
"PINUPON2","PINUPON","Py"
"ABIEMAG","ABIEMAG","Bm"
"CALLNOO","CALLNOO","Yc"
"CALLNOOD","CALLNOOD","Yc"
"CHALLIT","CHALLIT","Y"
